sentence,priority
-LRB- Anderson -RRB- uses a hit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense .,0
An amazing and incendiary movie that dives straight into the rough waters of contradiction .,0
"If there ai n't none , you have a problem .",0
Superbly photographed and staged by Mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,0
"The actors are so terrific at conveying their young angst , we do indeed feel for them .",0
"A brisk , reverent , and subtly different sequel .",0
His work transcends the boy-meets-girl posturing of typical love stories .,0
"This is human comedy at its most amusing , interesting and confirming .",0
"Perhaps a better celebration of these unfairly dismissed heroes would be a film that is n't this painfully forced , false and fabricated .",0
"What makes Barbershop so likable , with all its flaws , is that it has none of the pushiness and decibel volume of most contemporary comedies .",0
"It 's nice to see Piscopo again after all these years , and Chaykin and Headly are priceless .",0
"There is no solace here , no entertainment value , merely a fierce lesson in where filmmaking can take us .",0
"Officially , it is twice as bestial but half as funny .",0
"Why , you may ask , why should you buy the movie milk when the TV cow is free ?",0
"Although very much like the first movie based on J.K. Rowling 's phenomenal fantasy best sellers , this second go-round possesses a quite pleasing , headlong thrust and a likably delinquent attitude .",0
"Daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails .",0
And they succeed merrily at their noble endeavor .,0
Brisk hack job .,0
The beauty of the piece is that it counts heart as important as humor .,0
"It comes off as so silly that you would n't be surprised if BA , Murdock and rest of the A-Team were seen giving chase in a black and red van .",0
"With elements cribbed from Lang 's Metropolis , Welles ' Kane , and Eisenstein 's Potemkin , the true wonder of Rintar̫ 's Metropolis is the number of lasting images all its own .",0
A great script brought down by lousy direction .,0
There 's nothing more satisfying during a summer of event movies than a spy thriller like The Bourne Identity that 's packed with just as much intelligence as action .,0
"Displaying about equal amounts of naivet̩ , passion and talent , Beneath Clouds establishes Sen as a filmmaker of considerable potential .",0
This new Time Machine is hardly perfect ... yet it proves surprisingly serviceable .,0
Fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,0
"While somewhat less than it might have been , the film is a good one , and you 've got to hand it to director George Clooney for biting off such a big job the first time out .",0
The end result is like cold porridge with only the odd enjoyably chewy lump .,0
"For the future , one hopes Mr. Plympton will find room for one more member of his little band , a professional screenwriter .",0
"A broad , melodramatic estrogen opera that 's pretty toxic in its own right .",0
This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .,0
"In my opinion , Analyze That is not as funny or entertaining as Analyze This , but it is a respectable sequel .",0
"On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",0
"... a joke at once flaky and resonant , lightweight and bizarrely original .",0
"Formuliac , but fun .",0
"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",0
"Movies like this are selling the old European candor , the old wink of ` bold ' revelation .",0
Frank Capra played this story straight .,0
"A whole lot of fun and funny in the middle , though somewhat less hard-hitting at the start and finish .",0
"It 's hard to say who might enjoy this , are there Tolstoy groupies out there ?",0
"The film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .",0
You may feel compelled to watch the film twice or pick up a book on the subject .,0
Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier .,0
"A bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that French realism .",0
It 's a masterpiece .,0
"There is something in Full Frontal , I guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see .",0
Would that Greengrass had gone a tad less for grit and a lot more for intelligibility .,0
The kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics .,0
"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",0
"A lack of thesis makes Maryam , in the end , play out with the intellectual and emotional impact of an after-school special .",0
"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",0
"With Freeman and Judd , I 'll at least remember their characters .",0
"An operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",0
"In my own very humble opinion , In Praise of Love lacks even the most fragmented charms I have found in almost all of his previous works .",0
"Aptly named , this shimmering , beautifully costumed and filmed production does n't work for me .",0
"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",0
"On its own cinematic terms , it successfully showcases the passions of both the director and novelist Byatt .",0
"The story is lacking any real emotional impact , and the plot is both contrived and cliched .",0
It 's refreshing to see a romance this smart .,0
"What the film lacks in general focus it makes up for in compassion , as Corcuera manages to find the seeds of hope in the form of collective action .",0
"It would be disingenuous to call Reno a great film , but you can say that about most of the flicks moving in and out of the multiplex .",0
It all looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer .,0
"Not a schlocky creature feature but something far more stylish and cerebral -- and , hence , more chillingly effective .",0
A delightful coming-of-age story .,0
I could have used my two hours better watching Being John Malkovich again .,0
"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .",0
Parris ' performance is credible and remarkably mature .,0
Both a successful adaptation and an enjoyable film in its own right .,0
"But the 2002 film does n't really believe in it , and breaks the mood with absurdly inappropriate ` comedy ' scenes .",0
"I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .",0
Dramas like this make it human .,0
There 's a disturbing ` Great White Hope ' undertone to The Other Side of Heaven that subtly undermines its message of Christian love and compassion .,0
"Everything about The Quiet American is good , except its timing .",0
"A guilty pleasure at best , and not worth seeing unless you want to laugh at it .",0
Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,0
"A compelling pre-WWII drama with vivid characters and a warm , moving message .",0
"Despite her relentless vim and winsome facial symmetry , Witherspoon is just too dialed-up to be America 's Sweetheart .",0
"Made for teens and reviewed as such , this is recommended only for those under 20 years of age ... and then only as a very mild rental .",0
"With a large cast representing a broad cross-section , Tavernier 's film bounds along with the rat-a-tat energy of `` His Girl Friday , '' maintaining a light touch while tackling serious themes .",0
A good documentary can make interesting a subject you thought would leave you cold .,0
Holden Caulfield did it better .,0
The niftiest trick perpetrated by The Importance of Being Earnest is the alchemical transmogrification of Wilde into Austen -- and a Hollywood-ized Austen at that .,0
"It 's played in the most straight-faced fashion , with little humor to lighten things up .",0
Director Andrew Niccol ... demonstrates a wry understanding of the quirks of fame .,0
"The makers have forsaken the entertaining elements of the original and , instead , rehash old jokes and leave any life at the doorstep .",0
"The film is like sitting in a downtown caf̩ , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .",0
"One of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",0
"... a solid , well-formed satire .",0
"Though the film is well-intentioned , one could rent the original and get the same love story and parable .",0
"It 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage .",0
"Those who are not acquainted with the author 's work , on the other hand , may fall fast asleep .",0
This clever caper movie has twists worthy of David Mamet and is enormous fun for thinking audiences .,0
The filmmakers might want to look it up .,0
No amount of good intentions is able to overcome the triviality of the story .,0
"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness .",0
Could the whole plan here have been to produce something that makes Fatal Attraction look like a classic by comparison ?,0
"Funny , though .",0
"Such a fine idea for a film , and such a stultifying , lifeless execution .",0
"Wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture .",0
"... this story gets sillier , not scarier , as it goes along ...",0
"Sweetly sexy , funny and touching .",0
Your stomach for Heaven depends largely on your appetite for canned corn .,0
The Santa Clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,0
Gently humorous and touching .,0
An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,0
The central character is n't complex enough to hold our interest .,0
"Aspires to the cracked lunacy of The Adventures of Buckaroo Banzai , but thanks to an astonishingly witless script ends up more like The Adventures of Ford Fairlane .",0
"Until it goes off the rails in its final 10 or 15 minutes , Wendigo , Larry Fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films .",0
"With this masterful , flawless film , -LRB- Wang -RRB- emerges in the front ranks of China 's now numerous , world-renowned filmmakers .",0
"A little uneven to be the cat 's meow , but it 's good enough to be the purr .",0
"`` The Dangerous Lives of Altar Boys '' has flaws , but it also has humor and heart and very talented young actors",0
An effective portrait of a life in stasis -- of the power of inertia to arrest development in a dead-end existence .,0
Adaptation is simply brilliant .,0
"Scherfig , who has had a successful career in TV , tackles more than she can handle .",0
"This is a dark , gritty , sometimes funny little gem .",0
"Fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .",0
"Good , solid storytelling .",0
None of the characters or plot-lines are fleshed-out enough to build any interest .,0
"A gentle blend of present day testimonials , surviving footage of Burstein and his family performing , historical archives , and telling stills .",0
You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,0
"Try as you might to scrutinize the ethics of Kaufman 's approach , somehow it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment .",0
"Mostly works because of the universal themes , earnest performances ... and excellent use of music by India 's popular Gulzar and Jagjit Singh .",0
"If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .",0
Bow 's best moments are when he 's getting busy on the basketball court because that 's when he really scores .,0
Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,0
"Going to this movie is a little like chewing whale blubber - it 's an acquired taste that takes time to enjoy , but it 's worth it , even if it does take 3 hours to get through .",0
"A portrait of alienation so perfect , it will certainly succeed in alienating most viewers .",0
"Lux , now in her eighties , does a great combination act as narrator , Jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history .",0
"Belongs to Daniel Day-Lewis as much as it belongs to Martin Scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .",0
"The furious coherence that -LRB- DeNiro -RRB- brings to this part only underscores the fuzzy sentimentality of the movie itself , which feels , as it plods toward the end , less like a movie than like the filmed reading of a script in need of polishing .",0
A surprisingly ` solid ' achievement by director Malcolm D. Lee and writer John Ridley .,0
"The re - enactments , however fascinating they may be as history , are too crude to serve the work especially well .",0
It 's both a necessary political work and a fascinating documentary ...,0
"Secret Ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving .",0
"As commander-in-chief of this film , Bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .",0
"A triumph of art direction over narrative , but what art direction !",0
"If -LRB- Jaglom 's -RRB- latest effort is not the director at his most sparkling , some of its repartee is still worth hearing .",0
Atom Egoyan has conjured up a multilayered work that tackles any number of fascinating issues,0
"With very little to add beyond the dark visions already relayed by superb recent predecessors like Swimming With Sharks and The Player , this latest skewering ... may put off insiders and outsiders alike .",0
I like it .,0
"Whether or not you buy Mr. Broomfield 's findings , the film acquires an undeniable entertainment value as the slight , pale Mr. Broomfield continues to force himself on people and into situations that would make lesser men run for cover .",0
An amused indictment of Jaglom 's own profession .,0
Snipes relies too much on a scorchingly plotted dramatic scenario for its own good .,0
"An interesting psychological game of cat-and-mouse , three-dimensional characters and believable performances all add up to a satisfying crime drama .",0
"Opens as promising as any war\/adventure film you 'll ever see and dissolves into a routine courtroom drama , better suited for a movie titled `` Glory : A Soldier 's Story . ''",0
"-LRB- The film -RRB- tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it 's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .",0
Bullock does a good job here of working against her natural likability .,0
"One of the greatest family-oriented , fantasy-adventure movies ever .",0
"The laser-projected paintings provide a spell-casting beauty , while Russell and Dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .",0
The engagingly primitive animated special effects contribute to a mood that 's sustained through the surprisingly somber conclusion .,0
Is it a total success ?,0
"This odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in Morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .",0
Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,0
"Watching junk like this induces a kind of abstract guilt , as if you were paying dues for good books unread , fine music never heard .",0
"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",0
"Despite suffering a sense-of-humour failure , The Man Who Wrote Rocky does not deserve to go down with a ship as leaky as this .",0
Birot 's directorial debut -LRB- she co-wrote the script with Christophe Honor̩ -RRB- is n't so much bad as it is bland .,0
An encouraging effort from McCrudden,0
Astonishing ... -LRB- frames -RRB- profound ethical and philosophical questions in the form of dazzling pop entertainment .,0
It would have benefitted the dialogue .,0
"A fun family movie that 's suitable for all ages -- a movie that will make you laugh , cry and realize , ` It 's never too late to believe in your dreams . '",0
"For its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",0
"There 's not much more to this adaptation of the Nick Hornby novel than charm -- effortless , pleasurable , featherweight charm .",0
Just like Igby .,0
The only time 8 Crazy Nights comes close to hitting a comedic or satirical target is during the offbeat musical numbers .,0
"It 's not a bad premise , just a bad movie .",0
Zellweger 's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a,0
"What with the incessant lounge music playing in the film 's background , you may mistake Love Liza for an Adam Sandler Chanukah song .",0
"... plays like a badly edited , 91-minute trailer -LRB- and -RRB- the director ca n't seem to get a coherent rhythm going .",0
"Infidelity drama is nicely shot , well-edited and features a standout performance by Diane Lane .",0
His work with actors is particularly impressive .,0
"If the film 's vision of sport as a secular religion is a bit cloying , its through-line of family and community is heartening in the same way that each season marks a new start .",0
"Bluer than the Atlantic and more biologically detailed than an autopsy , the movie ... is , also , frequently hilarious .",0
"Exactly what its title implies : lusty , boisterous and utterly charming .",0
"It 's fun , but the code-talk will fly right over everyone 's head",0
"Dog Soldiers does n't transcend genre -- it embraces it , energizes it and takes big bloody chomps out of it .",0
"A jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages .",0
"Lyne 's latest , the erotic thriller Unfaithful , further demonstrates just how far his storytelling skills have eroded .",0
"As the Mediterranean sparkles , ` Swept Away ' sinks .",0
"-LRB- Serry -RRB- wants to blend politics and drama , an admirable ambition .",0
Cool ?,0
An original little film about one young woman 's education .,0
"Succumbs to the same kind of maudlin , sentimental mysticism that mars the Touched by an Angel school of non-God spiritual-uplift movies .",0
"Like its script , which nurses plot holes gaping enough to pilot an entire Olympic swim team through , the characters in Swimfan seem motivated by nothing short of dull , brain-deadening hangover .",0
"The filmmakers wisely decided to let Crocodile Hunter Steve Irwin do what he does best , and fashion a story around him .",0
"... a fun little timewaster , helped especially by the cool presence of Jean Reno .",0
"Muccino , who directed from his own screenplay , is a canny crowd pleaser , and The Last Kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex .",0
"Without resorting to camp or parody , Haynes -LRB- like Sirk , but differently -RRB- has transformed the rhetoric of Hollywood melodrama into something provocative , rich , and strange .",0
"This insightful , Oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .",0
Easily one of the best and most exciting movies of the year .,0
"The story is familiar from its many predecessors ; like them , it eventually culminates in the not-exactly - stunning insight that crime does n't pay .",0
"Despite its title , Punch-Drunk Love is never heavy-handed .",0
"We root for -LRB- Clara and Paul -RRB- , even like them , though perhaps it 's an emotion closer to pity .",0
The film 's heady yet far from impenetrable theory suggests that Russians take comfort in their closed-off nationalist reality .,0
"It 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",0
"While the transgressive trappings -LRB- especially the frank sex scenes -RRB- ensure that the film is never dull , Rodrigues 's beast-within metaphor is ultimately rather silly and overwrought , making the ambiguous ending seem goofy rather than provocative .",0
"Despite its old-hat set-up and predictable plot , Empire still has enough moments to keep it entertaining .",0
Too sincere to exploit its subjects and too honest to manipulate its audience .,0
This is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice .,0
One of -LRB- Jaglom 's -RRB- better efforts -- a wry and sometime bitter movie about love .,0
"Despite impeccable acting ... and a script that takes some rather unexpected -LRB- even , at times , preposterous -RRB- turns , Love is just too , too precious in the end .",0
Dogtown & Z-Boys evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of James Dean .,0
"Analyze That regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .",0
"Directed with purpose and finesse by England 's Roger Mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as Notting Hill to commercial fare with real thematic heft .",0
This flick is about as cool and crowd-pleasing as a documentary can get .,0
"It 's all very cute , though not terribly funny if you 're more than six years old .",0
A quasi-documentary by French filmmaker Karim Dridi that celebrates the hardy spirit of Cuban music .,0
"The WWII drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear .",0
"I enjoyed Time of Favor while I was watching it , but I was surprised at how quickly it faded from my memory .",0
Real-life strongman Ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders .,0
What we get ... is Caddyshack crossed with the Loyal Order of Raccoons .,0
The fetid underbelly of fame has never looked uglier .,0
