sentence,priority
"An engrossing story that combines psychological drama , sociological reflection , and high-octane thriller .",0
An engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .,0
Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0
"A time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .",0
"A work of intricate elegance , literary lyricism and profound common sense .",0
"Some movies suck you in despite their flaws , and Heaven is one such beast .",0
A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,0
The script becomes lifeless and falls apart like a cheap lawn chair .,0
Has a shambling charm ... a cheerfully inconsequential diversion .,0
Surprisingly powerful and universal .,0
At best this is a film for the under-7 crowd .,0
"Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",0
"The values that have held the Enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",0
"Home Alone goes Hollywood , a funny premise until the kids start pulling off stunts not even Steven Spielberg would know how to do .",0
"This film looks like it was produced in 1954 , shelved for 48 years , and repackaged for a 2002 audience .",0
"Elaborate special effects take centre screen , so that the human story is pushed to one side .",0
It 's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it .,0
None of Birthday Girl 's calculated events take us by surprise ...,0
Watching it is rather like viewing a long soap opera in which only the first episode was any good .,0
Viewing this underdramatized but overstated film is like watching a transcript of a therapy session brought to humdrum life by some Freudian puppet .,0
Lee Jeong-Hyang tells it so lovingly and films it so beautifully that I could n't help being captivated by it .,0
This is one of Polanski 's best films .,0
"Crudup 's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families .",0
A live-wire film that never loses its ability to shock and amaze .,0
The problems of the people in Love in the Time of Money are hardly specific to their era .,0
"Thoughtful , provocative and entertaining .",0
"I enjoyed the movie in a superficial way , while never sure what its purpose was .",0
The kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics .,0
"Every individual will see the movie through the prism of his or her own beliefs and prejudices , but the one thing most will take away is the sense that peace is possible .",0
A fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system,0
"A disappointment for those who love alternate versions of the Bard , particularly ones that involve deep fryers and hamburgers .",0
Cinematic poetry showcases the city 's old-world charm before machines change nearly everything .,0
"Seeing Seinfeld at home as he watches his own appearance on Letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but .",0
"... the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '",0
Fans of Behan 's work and of Irish movies in general will be rewarded by Borstal Boy .,0
Here the love scenes all end in someone screaming .,0
"It 's a nicely detailed world of pawns , bishops and kings , of wagers in dingy backrooms or pristine forests .",0
"Maid in Manhattan might not look so appealing on third or fourth viewing down the road ... But as a high concept vehicle for two bright stars of the moment who can rise to fans ' lofty expectations , the movie passes inspection .",0
Great over-the-top moviemaking if you 're in a slap-happy mood .,0
"Ryan Gosling is , in a word , brilliant as the conflicted Daniel .",0
"The script is smart , not cloying .",0
Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,0
A gift to anyone who loves both dance and cinema,0
What should have been a cutting Hollywood satire is instead about as fresh as last week 's issue of Variety .,0
Digital-video documentary about stand-up comedians is a great glimpse into a very different world .,0
... plays like somebody spliced random moments of a Chris Rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .,0
"Believes so fervently in humanity that it feels almost anachronistic , and it is too cute by half .",0
But the movie 's narrative hook is way too muddled to be an effectively chilling guilty pleasure .,0
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",0
Should have gone straight to video .,0
The second coming of Harry Potter is a film far superior to its predecessor .,0
The ingenuity that Parker displays in freshening the play is almost in a class with that of Wilde himself .,0
Historical dramas fused with love triangle is a well worn conceit .,0
"A gorgeously strange movie , Heaven is deeply concerned with morality , but it refuses to spell things out for viewers .",0
something the true film buff will enjoy .,0
This gorgeous epic is guaranteed to lift the spirits of the whole family .,0
The film is an enjoyable family film -- pretty much aimed at any youngster who loves horses .,0
Like other great documentaries ... this goes after one truth -LRB- the Ford administration 's complicity in tearing ` orphans ' from their mothers -RRB- and stumbles upon others even more compelling .,0
`` the road paved with good intentions leads to the video store '',0
"- style cross-country adventure ... it has sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack .",0
The film makes a fatal mistake : It asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .,0
"Cuaron repeatedly , perversely undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective .",0
Zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight .,0
"It 's hard not to be seduced by -LRB- Witherspoon 's -RRB- charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max .",0
"All in all , it 's a pretty good execution of a story that 's a lot richer than the ones Hollywood action screenwriters usually come up with on their own .",0
A good thriller .,0
One of the most significant moviegoing pleasures of the year .,0
"A charming , banter-filled comedy ... one of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface .",0
Earnest and tentative even when it aims to shock .,0
Poignant and delicately complex .,0
"An enjoyable film for the family , amusing and cute for both adults and kids .",0
"Directors John Musker and Ron Clements , the team behind The Little Mermaid , have produced sparkling retina candy , but they are n't able to muster a lot of emotional resonance in the cold vacuum of space .",0
"Whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet T-shirt and shower scenes .",0
"Though certainly original in form , Altar Boys requires a taste for Swamp Thing-type animation , doubled with a deafening score .",0
"It will probably prove interesting to Ram Dass fans , but to others it may feel like a parody of the mellow , peace-and-love side of the '60s counterculture .",0
"Not ` terrible filmmaking ' bad , but more like , ' I once had a nightmare like this , and it 's now coming true ' bad .",0
"The movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star Bruce Willis .",0
It 's not so much a movie as a joint promotion for the National Basketball Association and teenaged rap and adolescent poster-boy Lil ' Bow Wow .,0
"It has fun with the quirks of family life , but it also treats the subject with fondness and respect .",0
"Leaping from one arresting image to another , Songs from the Second Floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .",0
Showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .,0
It squanders Chan 's uniqueness ; it could even be said to squander Jennifer Love Hewitt !,0
The subtle strength of `` Elling '' is that it never loses touch with the reality of the grim situation .,0
may prove to be -LRB- Tsai 's -RRB- masterpiece .,0
The kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati .,0
Report card : Does n't live up to the exalted tagline - there 's definite room for improvement .,0
"A delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professional .",0
"The script is a tired one , with few moments of joy rising above the stale material .",0
Jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .,0
"This movie feel more like a non-stop cry for attention , than an attempt at any kind of satisfying entertainment .",0
"Like all of Egoyan 's work , Ararat is fiercely intelligent and uncommonly ambitious .",0
"The film affords us intriguing glimpses of the insights gleaned from a lifetime of spiritual inquiry , but Ram Dass : Fierce Grace does n't organize it with any particular insight .",0
"De Ayala is required to supply too much of the energy in a film that is , overall , far too staid for its subject matter .",0
An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975 .,0
Funny and touching .,0
Just another generic drama that has nothing going for it other than its exploitive array of obligatory cheap thrills .,0
Playfully profound ... and crazier than Michael Jackson on the top floor of a skyscraper nursery surrounded by open windows .,0
"The movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",0
Kids who are into this Thornberry stuff will probably be in wedgie heaven .,0
An improvement on the feeble examples of big-screen Poke-mania that have preceded it .,0
Fun and nimble .,0
"Analyze That regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .",0
"Enjoyably dumb , sweet , and intermittently hilarious -- if you 've a taste for the quirky , steal a glimpse .",0
Now here 's a sadistic bike flick that would have made Vittorio De Sica proud .,0
The best of the Pierce Brosnan James Bond films to date .,0
"Enough is not a bad movie , just mediocre .",0
"Berling and BÃ©art ... continue to impress , and Isabelle Huppert ... again shows uncanny skill in getting under the skin of her characters .",0
"Hu and Liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",0
"A knowing look at female friendship , spiked with raw urban humor .",0
Far more enjoyable than its predecessor .,0
Most folks with a real stake in the American sexual landscape will find it either moderately amusing or just plain irrelevant .,0
"In a summer overrun with movies dominated by CGI aliens and super heroes , it revigorates the mind to see a feature that concentrates on people , a project in which the script and characters hold sway .",0
"It 's a rollicking adventure for you and all your mateys , regardless of their ages .",0
A solid and refined piece of moviemaking imbued with passion and attitude .,0
"Fresh and raw like a blown-out vein , Narc takes a walking-dead , cop-flick subgenre and beats new life into it .",0
"Light , cute and forgettable .",0
"At its best , it 's Black Hawk Down with more heart .",0
"It 's pretty linear and only makeup-deep , but Bogdanovich ties it together with efficiency and an affection for the period .",0
"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",0
"The film 's sharp , often mischievous sense of humor will catch some off guard ...",0
"Fails to satisfactorily exploit its gender politics , genre thrills or inherent humor .",0
There 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,0
Grainy photography mars an otherwise delightful comedy of errors .,0
"Sensual , funny and , in the end , very touching .",0
"While certain cues , like the happy music , suggest that this movie is supposed to warm our hearts , Jeong-Hyang Lee 's film is just as likely to blacken that organ with cold vengefulness .",0
Better at putting you to sleep than a sound machine .,0
"The humor is hinged on the belief that knees in the crotch , elbows in the face and spit in the eye are inherently funny .",0
The lead actors share no chemistry or engaging charisma .,0
Looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights .,0
"De Niro and McDormand give solid performances , but their screen time is sabotaged by the story 's inability to create interest .",0
"This 72-minute film does have some exciting scenes , but it 's a tad slow .",0
"Silly stuff , all mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another .",0
"Though it 's equally solipsistic in tone , the movie has enough vitality to justify the notion of creating a screen adaptation of Evans ' saga of Hollywood excess .",0
Plays like a glossy melodrama that occasionally verges on camp .,0
"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women , water , nature , and sexuality .",0
"Hilarious , acidic Brit comedy .",0
Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .,0
"A creepy , intermittently powerful study of a self-destructive man ... about as unsettling to watch as an exploratory medical procedure or an autopsy .",0
Matches neorealism 's impact by showing the humanity of a war-torn land filled with people who just want to live their lives .,0
"It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists .",0
"There are a few laughs and clever sight gags scattered about , but not enough to make this anything more than another big-budget bust .",0
A delightful coming-of-age story .,0
But this films lacks the passion required to sell the material .,0
Rehearsals are frequently more fascinating than the results .,0
Forgettable horror -- more gory than psychological -- with a highly satisfying quotient of Friday-night excitement and Milla power .,0
"Technically , the film is about as interesting as an insurance commercial .",0
"Goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast .",0
"A gorgeous , witty , seductive movie .",0
It almost feels as if the movie is more interested in entertaining itself than in amusing us .,0
"Never Again swings between false sentiment and unfunny madcap comedy and , along the way , expects the audience to invest in the central relationship as some kind of marriage of true minds .",0
"Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",0
"Adroit but finally a trifle flat , Mad Love does n't galvanize its outrage the way , say , Jane Campion might have done , but at least it possesses some .",0
"By presenting an impossible romance in an impossible world , Pumpkin dares us to say why either is impossible -- which forces us to confront what 's possible and what we might do to make it so .",0
"With an admirably dark first script by Brent Hanley , Paxton , making his directorial feature debut , does strong , measured work .",0
"Ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible .",0
This is an interesting movie ! '',0
"The Man From Elysian Fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .",0
The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .,0
... delivers few moments of inspiration amid the bland animation and simplistic story .,0
"Miyazaki has created such a vibrant , colorful world , it 's almost impossible not to be swept away by the sheer beauty of his images .",0
"I 'm not a fan of the phrase ` life affirming ' because it usually means ` schmaltzy , ' but Real Women Have Curves truly is life affirming .",0
"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",0
Even die-hard fans of Japanese animation ... will find this one a challenge .,0
"So young , so smart , such talent , such a wise \*\*\* .",0
"Tries too hard to be funny in a way that 's too loud , too goofy and too short of an attention span .",0
"It showcases Carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff .",0
"In Moonlight Mile , no one gets shut out of the hug cycle .",0
"Better effects , better acting and a hilarious Kenneth Branagh .",0
"It is most of the things Costner movies are known for ; it 's sanctimonious , self-righteous and so eager to earn our love that you want to slap it .",0
And they succeed merrily at their noble endeavor .,0
Her delivery and timing are flawless .,0
"It 's a smart , funny look at an arcane area of popular culture , and if it is n't entirely persuasive , it does give exposure to some talented performers .",0
A fairly enjoyable mixture of Longest Yard ... and the 1999 Guy Ritchie caper Lock Stock and Two Smoking Barrels .,0
"-LRB- N -RRB- o matter how much good will the actors generate , Showtime eventually folds under its own thinness .",0
"Jacquot has filmed the opera exactly as the libretto directs , ideally capturing the opera 's drama and lyricism .",0
This is pretty dicey material .,0
It is quite a vision .,0
"A colorful , vibrant introduction to a universal human impulse , lushly photographed and beautifully recorded .",0
"Shyamalan offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to Earth for harvesting purposes .",0
Director Barry Skolnick and his screenwriters glibly tick off every point of `` The Longest Yard '' playbook like a checklist .,0
Any movie this boring should be required to have ushers in the theater that hand you a cup of coffee every few minutes .,0
Any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .,0
Sunshine State surveys the landscape and assesses the issues with a clear passion for sociology .,0
Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,0
"Occasionally funny , always very colorful and enjoyably overblown in the traditional AlmodÃ³var style .",0
"Coppola 's directorial debut is an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema .",0
"A mature , deeply felt fantasy of a director 's travel through 300 years of Russian history .",0
"I 'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes .",0
"Typical animÃ© , with cheapo animation -LRB- like Saturday morning TV in the '60s -RRB- , a complex sword-and-sorcery plot and characters who all have big round eyes and Japanese names .",0
"With more character development this might have been an eerie thriller ; with better payoffs , it could have been a thinking man 's monster movie .",0
"After one gets the feeling that the typical Hollywood disregard for historical truth and realism is at work here , it 's a matter of finding entertainment in the experiences of Zishe and the fiery presence of Hanussen .",0
"Perfectly pitched between comedy and tragedy , hope and despair , About Schmidt instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .",0
"You would be better off investing in the worthy EMI recording that serves as the soundtrack , or the home video of the 1992 Malfitano-Domingo production .",0
"The parts are better than the whole -LRB- bizarre , funny , tragic - like love in New York -RRB- .",0
A compelling allegory about the last days of Germany 's democratic Weimar Republic .,0
"Tense , terrific , sweaty-palmed fun .",0
The only thing I laughed at were the people who paid to see it .,0
"Though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .",0
"It 's supposed to be a humorous , all-too-human look at how hope can breed a certain kind of madness -- and strength -- but it never quite adds up .",0
Good old-fashioned slash-and-hack is back !,0
The film does n't show enough of the creative process or even of what was created for the non-fan to figure out what makes Wilco a big deal .,0
"If looking for a thrilling sci-fi cinematic ride , do n't settle for this Imposter .",0
"It 's not exactly worth the bucks to expend the full price for a date , but when it comes out on video , it 's well worth a rental .",0
Innocuous enough to make even Jean-Claude Van Damme look good .,0
"A fine , rousing , G-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .",0
"An oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion .",0
Smart and taut .,0
"An invaluable historical document thanks to the filmmaker 's extraordinary access to Massoud , whose charm , cultivation and devotion to his people are readily apparent .",0
"Short and sweet , but also more than anything else slight ... Tadpole pulls back from the consequences of its own actions and revelations .",0
It 's a feature-length adaptation of one of those `` Can This Marriage Be Saved ? '',0
"There 's not much to Fatale , outside of its stylish surprises ... but that 's OK .",0
"Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .",0
"But mostly it 's a work that , with humor , warmth , and intelligence , captures a life interestingly lived .",0
"Like the Hanks character , he 's a slow study : The action is stilted and the tabloid energy embalmed .",0
"Greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by Schweig , who carries the film on his broad , handsome shoulders .",0
"The laser-projected paintings provide a spell-casting beauty , while Russell and Dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .",0
"It 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn .",0
"Explosions , jokes , and sexual innuendoes abound .",0
There has to be a few advantages to never growing old .,0
"Carrying this wafer-thin movie on his nimble shoulders , Chan wades through putrid writing , direction and timing with a smile that says , ` If I stay positive , maybe I can channel one of my greatest pictures , Drunken Master . '",0
"Not a film to rival To Live , but a fine little amuse-bouche to keep your appetite whetted .",0
"... while certainly clever in spots , this too-long , spoofy update of Shakespeare 's Macbeth does n't sustain a high enough level of invention .",0
An enjoyable comedy of lingual and cultural differences ... The ChÃ¢teau is a film -- full of life and small delights -- that has all the wiggling energy of young kitten .,0
"Ana 's journey is not a stereotypical one of self-discovery , as she 's already comfortable enough in her own skin to be proud of her Rubenesque physique ...",0
"` If you are in the mood for an intelligent weepy , it can easily worm its way into your heart . '",0
Just how these families interact may surprise you .,0
It would work much better as a one-hour TV documentary .,0
"Zany , exuberantly irreverent animated space adventure .",0
"Not a cheap slasher flick , as the subject matter would suggest , but is a little like a nature film , showing a patient predator and his foolish prey .",0
This off-putting French romantic comedy is sure to test severely the indulgence of fans of AmÃ©lie .,0
By turns very dark and very funny .,0
"It 's a glorified sitcom , and a long , unfunny one at that .",0
It 's a remarkably solid and subtly satirical tour de force .,0
"... begins with promise , but runs aground after being snared in its own tangled plot .",0
"Devotees of Star Trek II : The Wrath of Khan will feel a nagging sense of deja vu , and the grandeur of the best Next Generation episodes is lacking .",0
"A passable romantic comedy , in need of another couple of passes through the word processor .",0
"An overly familiar scenario is made fresh by an intelligent screenplay and gripping performances in this low-budget , video-shot , debut indie effort .",0
"I 'll stay with the stage versions , however , which bite cleaner , and deeper .",0
"More concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , Soderbergh 's Solaris is a gorgeous and deceptively minimalist cinematic tone poem .",0
Paid in Full is remarkably engaging despite being noticeably derivative of Goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,0
"Maybe there 's a metaphor here , but figuring it out would n't make Trouble Every Day any better .",0
Pumpkin struts about with `` courage '' pinned to its huckster lapel while a yellow streak a mile wide decorates its back .,0
A charming yet poignant tale of the irrevocable ties that bind .,0
"While the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .",0
A great companion piece to other Napoleon films .,0
"Kurys never shows why , of all the period 's volatile romantic lives , Sand and Musset are worth particular attention .",0
"It has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .",0
Nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .,0
"Its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .",0
"Oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",0
"It 's mildly interesting to ponder the peculiar American style of justice that plays out here , but it 's so muddled and derivative that few will bother thinking it all through .",0
"The movie is too cute to take itself too seriously , but it still feels like it was made by some very stoned college students .",0
"Ultimately , `` MIB II '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless .",0
"Sharp , lively , funny and ultimately sobering film .",0
Probably the best case for Christianity since Chesterton and Lewis .,0
The locations go from stark desert to gorgeous beaches .,0
... the implication is Kissinger may have decided that -- when it comes to truncheoning -- it 's better to give than to receive .,0
"Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .",0
"What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .",0
"Having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , Khouri then gets terrific performances from them all .",0
"If you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then Mostly Martha offers all the perfect ingredients to more than satisfy your appetite .",0
"Behind the snow games and lovable Siberian huskies -LRB- plus one sheep dog -RRB- , the picture hosts a parka-wrapped dose of heart .",0
"Though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should .",0
"Rarely do films come along that are as intelligent , exuberant , and moving as Monsoon Wedding .",0
Ong 's promising debut is a warm and well-told tale of one recent Chinese immigrant 's experiences in New York City .,0
The cast is uniformly excellent ... but the film itself is merely mildly charming .,0
"Thanks to Haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , Far From Heaven actually pulls off this stylistic juggling act .",0
"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",0
A moving story of determination and the human spirit .,0
An engaging overview of Johnson 's eccentric career .,0
Cherish would 've worked a lot better had it been a short film .,0
Succeeds as a well-made evocation of a subculture .,0
A terrifically entertaining specimen of Spielbergian sci-fi .,0
"The Ring is worth a look , if you do n't demand much more than a few cheap thrills from your Halloween entertainment .",0
"The faithful will enjoy this sometimes wry adaptation of V.S. Naipaul 's novel , but newcomers may find themselves stifling a yawn or two during the first hour .",0
"Filmmakers Dana Janklowicz-Mann and Amir Mann area headed east , Far East , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of German Jewish refugees while the world 's democracie",0
Probes in a light-hearted way the romantic problems of individuals for whom the yearning for passion spells discontent .,0
"Just as the recent Argentine film Son of the Bride reminded us that a feel-good movie can still show real heart , Time of Favor presents us with an action movie that actually has a brain .",0
"Some , like Ballistic , arrive stillborn ... looking like the beaten , well-worn video box cover of seven years into the future .",0
Close enough in spirit to its freewheeling trash-cinema roots to be a breath of fresh air .,0
"Though overall an overwhelmingly positive portrayal , the film does n't ignore the more problematic aspects of Brown 's life .",0
You begin to long for the end credits as the desert does for rain .,0
"What the film lacks in general focus it makes up for in compassion , as Corcuera manages to find the seeds of hope in the form of collective action .",0
Disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... Tuck Everlasting is a little of both .,0
"I 'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap clichÃ© .",0
"A sensual performance from Abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at .",0
"The film has too many spots where it 's on slippery footing , but is acceptable entertainment for the entire family and one that 's especially fit for the kiddies .",0
"Has none of the crackle of `` Fatal Attraction '' , `` 9 1\/2 Weeks '' , or even `` Indecent Proposal '' , and feels more like Lyne 's stolid remake of `` Lolita '' .",0
"A fine film , but it would be a lot better if it stuck to Betty Fisher and left out the other stories .",0
"The film becomes an overwhelming pleasure , and you find yourself rooting for Gai 's character to avoid the fate that has befallen every other Carmen before her .",0
We want the funk - and this movie 's got it .,0
A quasi-documentary by French filmmaker Karim Dridi that celebrates the hardy spirit of Cuban music .,0
Richly entertaining and suggestive of any number of metaphorical readings .,0
"On its icy face , the new film is a subzero version of Monsters , Inc. , without the latter 's imagination , visual charm or texture .",0
"Busy urban comedy is clearly not Zhang 's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy .",0
"What Bloody Sunday lacks in clarity , it makes up for with a great , fiery passion .",0
To the degree that ivans xtc .,0
"Not as good as The Full Monty , but a really strong second effort .",0
"I still like Moonlight Mile , better judgment be damned .",0
"There 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but Kang tacks on three or four more endings .",0
"Barney has created a tour de force that is weird , wacky and wonderful .",0
-LRB- Broomfield -RRB- uncovers a story powerful enough to leave the screen sizzling with intrigue .,0
